波长(nm),大气消光系数(cm⁻¹)
3569.0,4.127694549669235e-06
3570.0,4.127486468584747e-06
3571.0,4.127234258543502e-06
3572.0,4.1124143012968206e-06
3573.0,4.11220578919755e-06
3574.0,4.111997211372755e-06
3575.0,4.111788803012272e-06
3576.0,4.111580692261596e-06
3577.0,4.111372553971039e-06
3578.0,4.124322259208913e-06
3579.0,4.124113180444523e-06
3580.0,4.12390475731639e-06
3581.0,4.123696000133402e-06
3582.0,4.123487717467356e-06
3583.0,4.123266521062144e-06
3584.0,4.123058618233051e-06
3585.0,4.173570149259362e-06
3586.0,4.173361831527889e-06
3587.0,4.17315309502361e-06
3588.0,4.172944700582668e-06
3589.0,4.172736556846184e-06
3590.0,4.172528322349126e-06
3591.0,4.300936379383405e-06
3592.0,4.300726979861226e-06
3593.0,4.300516749003246e-06
3594.0,4.300306346481175e-06
3595.0,4.30009665182818e-06
3596.0,4.299920978114506e-06
3597.0,4.299711048351531e-06
3598.0,4.429788452898685e-06
3599.0,4.4295769332968935e-06
3600.0,4.429365665027571e-06
3601.0,4.429153569623544e-06
3602.0,4.428942416571407e-06
3603.0,4.428731313380053e-06
3604.0,4.5306068310315e-06
3605.0,4.530396189807663e-06
3606.0,4.530185060676439e-06
3607.0,4.529974652966264e-06
3608.0,4.52976356004634e-06
3609.0,4.5296203788507665e-06
3610.0,4.529409513331115e-06
3611.0,4.66776192220406e-06
3612.0,4.667551422495645e-06
3613.0,4.667341555108066e-06
3614.0,4.667131425528899e-06
3615.0,4.666921370867116e-06
3616.0,4.666711597623667e-06
3617.0,4.781802879313558e-06
3618.0,4.781590905859834e-06
3619.0,4.7813791340337614e-06
3620.0,4.781167492837648e-06
3621.0,4.780956259062669e-06
3622.0,4.780787757877309e-06
3623.0,4.780576477868037e-06
3624.0,4.848524154079844e-06
